"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 10 16:25:19 EDT 2023","Mon Apr 10 16:25:28 EDT 2023","8564","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"broken","Sat Apr 15 19:31:25 EDT 2023","Sat Apr 15 19:31:43 EDT 2023","18069","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"passed","Tue Apr 11 19:17:27 EDT 2023","Tue Apr 11 19:17:49 EDT 2023","22050","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"broken","Mon Apr 17 21:19:13 EDT 2023","Mon Apr 17 21:19:29 EDT 2023","16151","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 10 07:45:55 EDT 2023","Mon Apr 10 07:46:13 EDT 2023","18492","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"passed","Mon Apr 10 20:29:29 EDT 2023","Mon Apr 10 20:29:40 EDT 2023","10459","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"broken","Sun Apr 09 23:17:48 EDT 2023","Sun Apr 09 23:17:58 EDT 2023","9596","","Hotel Travlers","","","","TC-18 Verify user can update number of guests on Home page",""
"passed","Sun Apr 16 15:15:05 EDT 2023","Sun Apr 16 15:15:40 EDT 2023","34753","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"passed","Sat Apr 15 12:59:07 EDT 2023","Sat Apr 15 12:59:15 EDT 2023","8346","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"passed","Sat Apr 15 13:37:17 EDT 2023","Sat Apr 15 13:37:25 EDT 2023","8556","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Mon Apr 10 16:38:04 EDT 2023","Mon Apr 10 16:38:12 EDT 2023","7811","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"passed","Sat Apr 15 12:58:12 EDT 2023","Sat Apr 15 12:58:15 EDT 2023","2951","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"passed","Sun Apr 09 23:11:07 EDT 2023","Sun Apr 09 23:11:16 EDT 2023","9695","","Hotel Travlers","","","","TC-18 Verify user can update number of guests on Home page",""
"passed","Sun Apr 09 21:35:20 EDT 2023","Sun Apr 09 21:35:28 EDT 2023","7305","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"broken","Mon Apr 10 16:59:00 EDT 2023","Mon Apr 10 16:59:21 EDT 2023","21054","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"broken","Sun Apr 09 16:09:41 EDT 2023","Sun Apr 09 16:09:44 EDT 2023","3236","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"failed","Sat Apr 15 20:12:27 EDT 2023","Sat Apr 15 20:12:50 EDT 2023","23164","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"passed","Sun Apr 09 21:33:55 EDT 2023","Sun Apr 09 21:34:02 EDT 2023","7111","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"broken","Mon Apr 17 19:28:25 EDT 2023","Mon Apr 17 19:28:38 EDT 2023","13062","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"broken","Sat Apr 08 15:34:08 EDT 2023","Sat Apr 08 15:34:14 EDT 2023","5311","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 10 17:46:33 EDT 2023","Mon Apr 10 17:46:53 EDT 2023","20711","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"broken","Mon Apr 10 00:25:48 EDT 2023","Mon Apr 10 00:26:06 EDT 2023","18038","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"passed","Tue Apr 04 23:43:04 EDT 2023","Tue Apr 04 23:43:09 EDT 2023","4954","","Sign up date","","","","Verify current date is selected in sign up form",""
"passed","Sun Apr 09 22:10:09 EDT 2023","Sun Apr 09 22:10:20 EDT 2023","11024","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"passed","Tue Apr 11 20:01:20 EDT 2023","Tue Apr 11 20:01:39 EDT 2023","19479","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"broken","Sun Apr 09 11:59:48 EDT 2023","Sun Apr 09 12:00:00 EDT 2023","11767","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 10 17:55:39 EDT 2023","Mon Apr 10 17:55:49 EDT 2023","10767","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"passed","Sun Apr 16 15:42:41 EDT 2023","Sun Apr 16 15:42:48 EDT 2023","6125","","blacklog testing on hotel.com","","","","TC-17 Verify past dates and back button on Current month's calendar is disabled",""
"passed","Sat Apr 15 13:24:37 EDT 2023","Sat Apr 15 13:24:48 EDT 2023","11548","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Tue Apr 11 19:59:58 EDT 2023","Tue Apr 11 20:00:12 EDT 2023","14612","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"broken","Sun Apr 09 14:08:01 EDT 2023","Sun Apr 09 14:08:22 EDT 2023","21458","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Sun Apr 09 16:20:25 EDT 2023","Sun Apr 09 16:20:29 EDT 2023","3379","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"broken","Mon Apr 10 07:58:41 EDT 2023","Mon Apr 10 07:58:59 EDT 2023","18445","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"passed","Tue Apr 11 19:21:01 EDT 2023","Tue Apr 11 19:21:16 EDT 2023","15248","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"passed","Thu Apr 13 23:04:56 EDT 2023","Thu Apr 13 23:04:58 EDT 2023","2786","","Verify language is correct","","","","TC-31 Verify language can be changed successfully",""
"broken","Sun Apr 09 22:43:54 EDT 2023","Sun Apr 09 22:44:03 EDT 2023","9475","","Hotel Travlers","","","","TC-18 Verify user can update number of guests on Home page",""
"broken","Mon Apr 17 19:21:18 EDT 2023","Mon Apr 17 19:21:35 EDT 2023","16654","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"passed","Sat Apr 15 19:29:07 EDT 2023","Sat Apr 15 19:29:26 EDT 2023","18978","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Sat Apr 15 13:23:24 EDT 2023","Sat Apr 15 13:23:33 EDT 2023","8746","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"passed","Sun Apr 09 16:23:51 EDT 2023","Sun Apr 09 16:23:56 EDT 2023","5208","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"broken","Tue Apr 11 19:39:39 EDT 2023","Tue Apr 11 19:39:55 EDT 2023","15450","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"broken","Sun Apr 09 14:09:22 EDT 2023","Sun Apr 09 14:09:49 EDT 2023","26739","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Sun Apr 16 15:14:07 EDT 2023","Sun Apr 16 15:14:36 EDT 2023","29380","","Sign up date","","","","Verify current date is selected in sign up form",""
"passed","Sat Apr 08 16:49:27 EDT 2023","Sat Apr 08 16:49:46 EDT 2023","19539","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Sun Apr 09 08:32:34 EDT 2023","Sun Apr 09 08:32:44 EDT 2023","10298","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"passed","Sun Apr 16 15:14:07 EDT 2023","Sun Apr 16 15:14:52 EDT 2023","45446","","Verify language is correct","","","","TC-31 Verify language can be changed successfully",""
"passed","Sat Apr 15 12:54:13 EDT 2023","Sat Apr 15 12:54:51 EDT 2023","38012","","Verify language is correct","","","","TC-31 Verify language can be changed successfully",""
"passed","Tue Apr 11 20:04:44 EDT 2023","Tue Apr 11 20:04:59 EDT 2023","15511","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"passed","Thu Apr 13 22:56:01 EDT 2023","Thu Apr 13 22:56:04 EDT 2023","2861","","Verify language is correct","","","","TC-31 Verify language can be changed successfully",""
"broken","Mon Apr 10 19:59:37 EDT 2023","Mon Apr 10 19:59:59 EDT 2023","21275","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"passed","Sat Apr 15 19:05:27 EDT 2023","Sat Apr 15 19:05:44 EDT 2023","16614","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Sun Apr 09 16:15:19 EDT 2023","Sun Apr 09 16:15:22 EDT 2023","3028","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"broken","Mon Apr 10 17:45:25 EDT 2023","Mon Apr 10 17:45:35 EDT 2023","10671","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"broken","Sun Apr 16 15:14:07 EDT 2023","Sun Apr 16 15:14:35 EDT 2023","28146","","Hotels Signup","","","","TC-22 Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 10 16:30:47 EDT 2023","Mon Apr 10 16:30:55 EDT 2023","8107","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"broken","Sun Apr 09 12:02:28 EDT 2023","Sun Apr 09 12:02:41 EDT 2023","12552","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"passed","Tue Apr 11 19:48:42 EDT 2023","Tue Apr 11 19:49:08 EDT 2023","25716","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"passed","Sat Apr 15 19:06:00 EDT 2023","Sat Apr 15 19:06:19 EDT 2023","19028","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Sat Apr 08 14:46:09 EDT 2023","Sat Apr 08 14:46:13 EDT 2023","3397","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 17 21:21:06 EDT 2023","Mon Apr 17 21:21:28 EDT 2023","21684","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"broken","Sun Apr 09 17:20:11 EDT 2023","Sun Apr 09 17:20:16 EDT 2023","5157","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"failed","Sun Apr 09 12:01:31 EDT 2023","Sun Apr 09 12:01:43 EDT 2023","12388","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"passed","Sat Apr 15 19:58:33 EDT 2023","Sat Apr 15 19:58:57 EDT 2023","24224","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Mon Apr 10 20:35:52 EDT 2023","Mon Apr 10 20:36:03 EDT 2023","10863","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"broken","Tue Apr 04 23:48:51 EDT 2023","Tue Apr 04 23:48:55 EDT 2023","4360","","Sign up date","","","","Verify default state of signup form",""
"broken","Sun Apr 09 15:49:47 EDT 2023","Sun Apr 09 15:49:58 EDT 2023","11476","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"broken","Sun Apr 16 15:14:07 EDT 2023","Sun Apr 16 15:14:36 EDT 2023","28854","","Login","","","","Verify login fields are enabled",""
"broken","Sat Apr 15 13:21:01 EDT 2023","Sat Apr 15 13:21:09 EDT 2023","8602","","List property","","","","TC-29 Verify ""List your Property"" flow",""
